"","city_ibge_code","lat","long"
"395",4301073,-31.4389,-52.4246
"396",4301057,-29.5439,-49.8895
"397",4301206,-29.3348,-53.0966
"398",4301107,-30.0875,-51.7275
"399",4301305,-32.2327,-53.0862
"400",4201604,-26.9257,-51.3407
"401",3503802,-22.5727,-47.1727
"402",5202502,-14.9166,-51.075
"403",3503901,-23.3965,-46.32
"404",4201653,-27.0748,-52.4543
"405",4301404,-28.8737,-52.1781
"406",4201703,-26.9548,-49.3783
"407",3503950,-20.16,-50.728
"408",4101903,-23.3697,-50.8459
"409",2301604,-6.8669,-39.8689
"410",3504008,-22.66,-50.4183
"411",1200054,-10.9298,-69.5738
"412",4102000,-24.4168,-53.5213
"413",2501351,-7.07231,-36.725
"414",2201051,-5.865,-41.0389
"415",3104601,-21.3184,-42.8572
"416",4102109,-23.2318,-51.6668
"417",4102208,-23.1517,-52.0551
"418",2700409,-9.5119,-36.0086
"419",1300201,-4.37055,-70.1967
"420",4201802,-27.4219,-49.7789
"421",3104700,-18.0438,-41.1149
"422",3504107,-23.1171,-46.5563
"423",3200706,-20.913,-41.1986
"424",1702554,-5.46863,-47.8863
"425",1500909,-1.05109,-46.6147
"426",3104809,-18.0997,-44.2655
"427",4301503,-28.5172,-53.9883
"428",2401305,-5.86206,-37.3135
"429",4301552,-27.6936,-52.0505
"430",2902401,-14.321,-39.329
"431",3504206,-20.6836,-50.5572
"432",5202601,-16.6773,-50.4641
"433",2301703,-6.93349,-38.9742
"434",4201901,-27.3098,-49.6295
"435",1500958,-2.14898,-47.5677
"436",1702703,-12.7105,-46.4076
"437",1300300,-3.58574,-59.1256
"438",3504305,-22.1514,-49.3356
"439",3504404,-21.4584,-49.9509
"440",3504503,-23.1067,-48.9251
"441",1501006,-3.60841,-55.3199
"442",2201101,-10.1345,-43.9563
"443",5202809,-16.4672,-49.7579
"444",2101103,-2.83939,-44.062
"445",1702901,-5.61275,-47.7701
"446",1703008,-7.20923,-47.7613
"447",2101202,-4.22447,-44.7832
"448",2101251,-2.96452,-44.3164
"449",2101301,-1.6965,-45.1328
"450",2101350,-2.71,-44.7329
"451",3504602,-20.9197,-49.4385
"452",3104908,-21.957,-44.8874
"453",4301602,-31.3297,-54.0999
"454",1501105,-1.90057,-50.1987
"455",2501401,-6.69209,-34.9381
"456",2401404,-6.37161,-35.0033
"457",2902500,-12.3016,-44.5388
"458",1501204,-2.79021,-49.6694
"459",2902609,-11.9519,-40.169
"460",2201150,-7.84903,-45.219
"461",2301802,-6.71945,-38.7134
"462",3200805,-19.5213,-41.0109
"463",3504701,-21.8963,-49.3619
"464",3105004,-19.2832,-43.9613
"465",5203104,-16.1966,-52.5393
"466",4201950,-28.9806,-49.4237
"467",4202057,-26.4597,-48.6123
"468",4202008,-26.9926,-48.6352
"469",4202073,-29.1527,-49.5841
"470",4212809,-26.7639,-48.6717
"471",4301636,-30.2419,-50.2337
"472",4220000,-28.8314,-49.2352
